dur,proto,service,sbytes,dbytes
1.232252,111,9,950,2266
0.305854,111,3,1582,268
0.845421,111,5,9684,406
0.379788,111,10,1294,268
0.588943,111,10,2062,268
0.596682,111,10,3678,268
0.725222,111,10,550,354
1.00E-05,115,10,168,0
0.740256,111,3,774,268
1.189909,111,10,718,354
0.810054,111,10,1716,354
0.860513,111,10,3678,268
1.1899,111,3,1326,3294
0.721047,111,10,2484,268
0.801919,111,10,6830,354
0.407476,111,3,780,268
0.456038,111,10,550,268
0.69726,111,10,1294,268
1.155184,111,10,564,354
0.823709,111,3,914,29346
1.094653,111,3,824,2216
0.860687,111,10,992,716
44.22596,111,10,18872,1718
1.004763,111,10,1092,766
1.393967,111,10,1164,842
1.31628,111,3,1314,1774
1.392847,111,10,1084,820
2.838932,111,9,1222,63172
5.293481,111,0,286548,3166
0.837254,111,10,1080,734
1.46353,111,10,1232,830
1.843741,111,3,836,5624
1.438237,111,3,958,2726
1.263457,111,10,1174,730
1.465404,111,3,800,1018
1.722713,111,10,988,808
2.337648,111,10,1228,796
3.429712,111,0,30764,1764
2.360055,111,0,28162,1772
0.844596,111,10,1014,740
1.102556,111,10,1110,820
1.141352,111,10,1018,840
1.067207,111,10,1110,776
2.716886,111,10,1042,696
1.943965,111,10,34710,1022
1.834468,111,3,818,4788
1.468132,111,3,830,1856
1.616972,111,10,1196,820
1.916194,111,10,3030,844
2.119298,111,5,698,682
2.22194,111,5,700,682
2.420967,111,10,1106,814
2.663656,111,5,698,682
1.905333,111,3,936,354
2.141633,111,10,3026,792
28.213135,13,10,1280,0
28.213135,13,10,1280,0
28.213135,13,10,1280,0
28.213135,13,10,1280,0
28.213135,13,10,1280,0
28.213135,13,10,1280,0
0.803314,111,0,41302,2104
0.678469,111,10,564,354
1.313131,111,5,1186,1668
1.50E-05,115,10,168,0
0.624286,111,10,564,354
1.265907,111,0,172977,2638
3.00E-06,7,10,776,0
3.00E-06,7,10,776,0
3.00E-06,7,10,776,0
3.00E-06,7,10,776,0
3.00E-06,115,10,168,0
0.466699,13,10,2858,0
0.466699,13,10,2858,0
0.466699,13,10,2858,0
7.00E-06,115,10,168,0
0.180252,111,3,974,268
0.264132,111,3,748,4208
4.00E-06,115,10,2150,0
1.00E-05,115,10,1970,0
1.00E-05,115,10,1850,0
8.00E-06,115,10,754,0
9.00E-06,115,10,1406,0
0.201833,111,3,1308,268
6.00E-06,115,10,756,0
1.00E-05,115,10,1768,0
0.611251,111,10,1172,48278
1.151317,111,5,1190,1652
0.34468,111,3,1284,2074
0.185405,111,10,512,268
0.644655,111,10,1104,31168
1.225539,111,10,3926,3392
0.201967,111,3,4708,268
0.165417,111,3,3818,268
0.414536,111,10,1204,354
0.419779,111,10,1332,354
0.252441,111,10,1844,268
7.312841,13,10,10880,0
0.186136,111,3,816,6574
0.246582,111,10,6924,812
0.188998,111,3,854,268
0.198691,111,3,918,268
4.490101,115,7,17078,0
43.982441,111,10,1568,1528
0.568472,111,0,2512,1386
0.535636,111,10,1256,1288
0.793553,111,10,906,556
0.905874,111,10,904,642
0.628707,111,3,964,3708
0.954264,111,10,782,678
1.335126,111,10,904,728
0.417471,111,3,786,826
0.328615,111,3,888,3780
0.720163,111,10,790,678
0.963038,111,10,2798,2050
0.376248,111,3,1062,268
1.30776,111,0,23864,1846
43.776703,111,10,7164417,34668
0.338931,111,3,796,1024
1.194859,111,9,934,8624
0.796488,111,10,564,354
0.320574,111,10,568,268
0.367036,111,3,1092,1044
7.00E-06,115,2,136,0
0.49391,111,3,770,11200
0.340732,111,3,842,1670
3.00E-06,115,10,168,0
0.829626,111,10,564,354
7.00E-06,115,10,406,0
0.915074,111,10,1536,556
0.328484,111,3,1126,14492
0.381521,111,3,794,3962
0.580452,111,1,2326,552
1.845588,111,0,4963,1834
1.634732,111,10,1084,31422
3.00E-06,7,10,78,0
3.00E-06,7,10,78,0
0.52179,111,10,684,268
1.300463,111,10,992,16286
0.884886,111,10,564,354
0.474962,111,3,906,22330
0.818168,111,10,564,354
35.181515,111,0,5487011,26990
0.37681,111,10,562,268
2.30E-05,115,10,168,0
3.00E-06,115,10,168,0
0.346076,111,3,914,268
3.315317,111,0,214505,2812
4.00E-06,115,10,2792,0
1.00E-06,115,10,168,0
8.00E-06,115,10,168,0
0.671246,111,10,564,354
0.67514,111,10,564,354
0.277344,111,3,800,5972
0.012899,111,10,96,96
0.623815,111,10,564,354
0.190103,111,3,916,4638
5.00E-06,122,10,180,0
5.00E-06,122,10,180,0
5.00E-06,122,10,180,0
3.00E-06,81,10,180,0
3.00E-06,81,10,180,0
3.00E-06,81,10,180,0
3.00E-06,81,10,180,0
3.00E-06,64,10,180,0
3.00E-06,64,10,180,0
3.00E-06,64,10,180,0
3.00E-06,64,10,180,0
1.160125,111,5,1190,1642
1.160125,111,5,1190,1642
1.007653,66,10,360,0
1.007653,66,10,360,0
1.007653,66,10,360,0
1.007653,66,10,360,0
0.192322,111,10,5098,268
0.187225,111,10,1988,268
0.675253,111,10,564,354
8.00E-06,62,10,180,0
3.00E-06,105,10,200,0
3.00E-06,105,10,200,0
3.00E-06,105,10,200,0
6.00E-06,23,10,180,0
6.00E-06,23,10,180,0
6.00E-06,23,10,180,0
6.00E-06,23,10,180,0
6.00E-06,23,10,180,0
2.00E-06,39,10,180,0
6.00E-06,5,10,180,0
1.30E-05,115,10,168,0
6.00E-06,5,10,180,0
0.707186,111,10,1032,9898
3.00E-06,18,10,180,0
1.50E-05,115,10,168,0
3.00E-06,18,10,180,0
0.781325,111,10,1186,40540
0.225991,111,3,1170,966
3.00E-06,18,10,180,0
0.227117,111,3,834,5384
3.00E-06,18,10,180,0
1.00E-05,115,10,748,0
3.00E-06,74,10,180,0
1.411386,111,5,1202,1664
0.244608,111,3,980,268
1.253977,111,0,308919,3296
2.00E-05,115,10,168,0
0.371083,111,3,950,268
7.00E-06,115,10,168,0
1.246909,57,10,400,0
0.489758,13,10,1040,0
0.489758,13,10,1040,0
1.246909,57,10,400,0
57.237827,111,9,70700,14657531
1.246909,57,10,400,0
0.231606,111,3,926,23166
1.246909,57,10,400,0
1.565097,111,3,2976,449181
8.00E-06,115,10,168,0
1.246909,57,10,400,0
1.644148,111,0,283242,2998
9.00E-06,82,10,200,0
7.312841,13,10,10880,0
9.00E-06,82,10,200,0
7.312841,13,10,10880,0
5.00E-06,103,10,200,0
7.312841,13,10,10880,0
5.00E-06,103,10,200,0
7.312841,13,10,10880,0
0.27331,111,3,898,268
8.00E-06,117,10,200,0
0.155371,111,10,19834,354
8.00E-06,117,10,200,0
0.217978,111,3,802,268
5.00E-06,2,10,200,0
5.00E-06,2,10,200,0
0.625488,111,10,564,354
5.00E-06,2,10,200,0
0.2647,111,10,2652,9188
5.00E-06,92,10,200,0
0.496533,111,3,962,1056
5.00E-06,92,10,200,0
0.632841,111,10,564,354
0.181007,111,3,2792,268
5.00E-06,92,10,200,0
0.626981,111,10,564,354
5.00E-06,92,10,200,0
1.755642,111,3,3010,474465
0.633985,111,10,1024,3010
3.00E-06,56,10,200,0
0.18229,111,3,1006,268
0.844803,111,0,9199,1596
3.00E-06,56,10,200,0
0.008271,115,10,1386,106
3.00E-06,56,10,200,0
1.122435,111,0,94429,2308
3.00E-06,68,10,200,0
0.230717,111,3,802,7782
3.00E-06,68,10,200,0
0.638853,111,10,564,354
3.00E-06,68,10,200,0
0.248781,111,3,876,29216
3.00E-06,68,10,200,0
1.96472,111,5,1206,1638
3.00E-06,68,10,200,0
1.914575,111,10,3444,3254
0.872915,111,10,564,354
4.00E-06,70,10,200,0
0.618564,111,10,4172,268
8.00E-06,41,10,200,0
0.97472,111,0,41333,2022
8.00E-06,41,10,200,0
8.00E-06,41,10,200,0
0.285157,111,3,814,2030
3.00E-06,127,10,200,0
1.00E-05,115,10,322,0
3.00E-06,127,10,200,0
0.255045,111,3,2456,268
1.036788,111,3,1268,100496
3.00E-06,127,10,200,0
0.538437,111,10,518,354
1.00E-06,115,10,104,0
2.00E-06,115,10,104,0
0.301315,111,3,812,2864
1.285564,111,3,1012,1688
0.664642,111,10,564,354
0.221558,111,10,628,268
9.00E-06,95,10,200,0
0.241523,111,3,818,1796
3.00E-06,94,10,200,0
3.00E-06,94,10,200,0
0.616813,111,0,9989,1712
9.00E-06,40,10,200,0
0.659375,111,10,564,354
0.474746,111,6,364,5150
8.00E-06,115,10,104,0
0.379524,111,10,1612,268
9.00E-06,52,10,200,0
0.345819,111,10,1612,268
0.282292,111,10,1612,268
9.00E-06,52,10,200,0
0.515394,111,10,1612,354
1.760479,111,3,510,354
8.00E-06,115,10,168,0
3.00E-06,130,10,200,0
0.724875,111,6,364,842
0.445359,111,5,3598,384
9.00E-06,75,10,200,0
1.60E-05,115,10,168,0
0.591922,111,10,1612,354
9.00E-06,75,10,200,0
1.090031,111,10,1450,86878
9.00E-06,75,10,200,0
0.41097,111,3,940,354
3.00E-06,125,10,200,0
0.721878,111,0,5358,1878
3.00E-06,125,10,200,0
9.00E-06,115,10,168,0
0.851633,111,9,1132,39742
8.00E-06,35,10,200,0
8.00E-06,35,10,200,0
8.00E-06,35,10,200,0
0.184412,111,3,884,268
8.00E-06,35,10,200,0
6.00E-06,115,10,168,0
8.00E-06,35,10,200,0
9.00E-06,115,10,168,0
0.987803,111,5,2524,634
2.00E-06,8,10,200,0
2.00E-06,8,10,200,0
2.00E-06,8,10,200,0
0.19063,111,3,934,268
9.00E-06,121,10,200,0
0.240515,111,3,800,7212
9.00E-06,121,10,200,0
0.263627,111,3,916,26010
9.00E-06,121,10,200,0
0.287987,111,3,2244,2344
9.00E-06,29,10,200,0
0.633155,111,10,564,354
9.00E-06,29,10,200,0
1.276288,111,0,155333,2544
9.00E-06,29,10,200,0
0.72675,111,10,1178,41228
9.00E-06,29,10,200,0
8.00E-06,115,10,168,0
9.00E-06,32,10,200,0
0.20765,111,3,818,9134
9.00E-06,32,10,200,0
0.671838,111,10,564,354
9.00E-06,32,10,200,0
0.365988,111,10,25914,764
3.00E-06,21,10,200,0
4.00E-06,115,10,168,0
3.00E-06,21,10,200,0
0.765067,111,10,25556,728
1.103479,111,5,1166,1638
3.00E-06,106,10,200,0
1.2007,111,10,1382,69734
9.00E-06,88,10,200,0
0.668237,111,10,27608,642
9.00E-06,88,10,200,0
1.002146,111,10,28122,936
9.00E-06,88,10,200,0
1.021487,111,10,564,354
9.00E-06,108,10,200,0
9.00E-06,108,10,200,0
2.055093,111,5,1166,1612
1.7093,111,5,1186,1658
0.697296,111,3,526,354
1.602192,111,0,14552,1642
7.200432,112,10,400,0
0.819005,111,10,564,354
7.200432,112,10,400,0
4.273954,111,10,26316,1596
0.534465,111,10,2508,354
7.200432,112,10,400,0
9.00E-06,115,10,702,0
8.00E-06,84,10,200,0
4.00E-06,115,10,168,0
8.00E-06,84,10,200,0
0.239718,111,3,2682,268
8.00E-06,84,10,200,0
0.264001,111,3,828,3730
8.00E-06,84,10,200,0
1.00E-05,115,10,144,0
8.00E-06,84,10,200,0
0.184411,111,3,1552,268
7.00E-06,19,10,200,0
0.454072,111,3,830,354
0.316553,111,10,2272,392
0.237768,111,10,454,410
3.20E-05,115,10,168,0
0.182122,111,3,792,268
7.00E-06,19,10,200,0
0.192723,111,3,1046,268
7.00E-06,19,10,200,0
0.921987,13,10,1280,0
0.921987,13,10,1280,0
9.00E-06,31,10,200,0
0.921987,13,10,1280,0
9.00E-06,31,10,200,0
0.921987,13,10,1280,0
8.00E-06,48,10,200,0
9.00E-06,7,10,104,0
9.00E-06,7,10,104,0
8.00E-06,48,10,200,0
9.00E-06,106,10,156,0
8.00E-06,73,10,200,0
0.251427,111,10,1902,268
8.00E-06,97,10,200,0
1.327353,111,10,1640,133010
8.00E-06,97,10,200,0
0.644901,111,0,2716,1106
9.84468,111,0,4130,2176
5.00E-06,22,10,200,0
0.332004,111,3,852,268
0.873863,111,3,6806,268
8.550902,111,0,116243,2818
9.00E-06,20,10,200,0
1.459835,111,9,1062,30862
0.347434,111,10,724,268
9.00E-06,20,10,200,0
9.00E-06,20,10,200,0
0.639309,111,10,564,354
9.00E-06,97,10,200,0
0.781391,111,10,5432,2230
9.00E-06,97,10,200,0
0.639483,111,10,1006,6196
8.00E-06,14,10,200,0
8.00E-06,14,10,200,0
9.00E-06,115,10,168,0
8.00E-06,14,10,200,0
0.266376,111,3,848,1014
3.00E-06,55,10,200,0
0.631712,111,10,564,354
9.00E-06,120,10,200,0
0.247074,111,10,2554,498
9.00E-06,120,10,200,0
0.246724,111,10,828,9642
0.978975,111,0,72696,2138
5.00E-06,97,10,200,0
1.028503,111,0,93934,2112
5.00E-06,97,10,200,0
0.489758,13,10,1040,0
5.00E-06,97,10,200,0
0.489758,13,10,1040,0
0.719178,111,0,26282,1846
0.188718,111,3,874,268
1.336532,111,3,694,354
0.257473,111,3,784,1584
8.00E-06,79,10,200,0
0.631209,111,6,364,724
8.00E-06,79,10,200,0
0.212323,111,3,824,1418
2.00E-06,115,10,168,0
8.00E-06,90,10,200,0
0.203724,111,3,744,944
8.00E-06,90,10,200,0
1.068803,111,5,1190,1644
0.256406,111,3,824,1384
8.00E-06,90,10,200,0
1.244202,13,10,3024,0
1.244202,13,10,3024,0
1.244202,13,10,3024,0
3.00E-06,119,10,200,0
0.563572,111,0,25146,1724
0.190494,111,3,1246,268
3.00E-06,119,10,200,0
0.734875,111,10,564,354
8.00E-06,126,10,200,0
0.256281,111,3,2550,268
32.550049,111,3,2032,622
8.00E-06,126,10,200,0
0.313243,111,10,502,268
8.00E-06,126,10,200,0
0.454986,111,10,578,268
2.032866,111,5,1186,1602
8.00E-06,126,10,200,0
0.648226,111,10,488,268
9.00E-06,115,10,224,0
8.00E-06,54,10,200,0
0.495706,111,3,566,268
8.00E-06,54,10,200,0
9.00E-06,115,10,168,0
8.00E-06,54,10,200,0
1.305125,111,10,546,268
8.00E-06,54,10,200,0
1.642084,111,10,564,354
3.29123,111,5,1244,1608
8.00E-06,11,10,200,0
0.678804,111,10,546,354
8.00E-06,11,10,200,0
0.500246,111,10,546,268
8.00E-06,11,10,200,0
0.302907,111,10,546,268
8.00E-06,11,10,200,0
8.00E-06,44,10,200,0
1.578096,111,0,41257,1838
8.00E-06,44,10,200,0
0.467829,111,10,546,268
0.614827,111,10,546,354
0.444697,111,10,546,268
0.591822,111,10,546,354
0.229571,111,3,964,268
3.00E-06,115,10,168,0
8.00E-06,85,10,200,0
0.229942,111,3,956,268
8.00E-06,85,10,200,0
8.00E-06,85,10,200,0
9.00E-06,115,10,168,0
1.741589,111,3,1094,354
0.210218,111,3,870,28312
0.912818,111,0,45569,1882
6.00E-06,26,10,200,0
8.00E-06,115,10,168,0
6.00E-06,26,10,200,0
0.866326,111,0,6379,1694
6.00E-06,33,10,200,0
4.23501,111,3,2314,308456
6.00E-06,33,10,200,0
0.496439,111,10,1460,268
6.00E-06,33,10,200,0
0.698342,111,10,2062,268
0.644017,111,10,1524,268
3.00E-06,1,10,200,0
0.930911,111,10,1844,268
3.00E-06,1,10,200,0
0.664591,111,10,718,268
3.00E-06,1,10,200,0
1.258327,111,10,1294,354
3.00E-06,1,10,200,0
8.00E-06,115,10,168,0
3.00E-06,58,10,200,0
0.648673,111,10,2062,268
3.00E-06,58,10,200,0
0.780763,111,10,2292,268
3.00E-06,58,10,200,0
2.690916,111,0,39304,1974
0.854481,111,10,550,354
3.00E-06,58,10,200,0
0.862454,111,10,622,268
3.00E-06,58,10,200,0
0.862454,111,10,622,268
1.058314,111,10,96806,698
0.480618,111,10,2062,268
3.00E-06,9,10,200,0
0.561693,111,10,6830,268
3.00E-06,10,10,200,0
0.821876,111,10,1206,752
3.00E-06,10,10,200,0
0.469708,111,10,910,268
8.00E-06,13,10,200,0
8.00E-06,13,10,200,0
0.806499,111,10,1270,718
8.00E-06,13,10,200,0
0.898723,111,10,1112,734
5.00E-06,104,10,200,0
1.211704,111,3,746,354
5.00E-06,113,10,200,0
1.297416,111,10,1168,860
5.00E-06,113,10,200,0
1.188517,111,10,3058,812
1.249461,111,10,1230,706
8.00E-06,109,10,200,0
1.00E-06,115,10,168,0
1.0163,111,10,1046,712
8.00E-06,109,10,200,0
1.239806,111,10,564,354
8.00E-06,109,10,200,0
0.898622,111,10,3060,732
8.00E-06,109,10,200,0
2.064881,111,3,834,1090
2.512475,111,10,1074,826
4.011219,111,0,187370,2788
1.265954,111,10,23576,440
1.24516,111,10,910,354
9.00E-06,6,10,200,0
1.187146,111,10,1294,354
9.00E-06,6,10,200,0
2.611304,111,3,976,24944
9.00E-06,46,10,200,0
2.19555,111,10,564,354
9.00E-06,46,10,200,0
1.56522,111,10,982,706
0.877109,111,10,1144,736
9.00E-06,46,10,200,0
1.350991,111,10,1326,824
9.00E-06,46,10,200,0
1.20E-05,115,10,1524,0
5.00E-06,100,10,200,0
1.899877,111,10,1072,848
3.00E-06,67,10,200,0
6.027484,111,10,564,354
3.00E-06,67,10,200,0
10.46607,111,9,1664,103410
4.334506,111,3,17434,354
9.00E-06,45,10,200,0
4.777531,111,3,830,1032
3.00E-06,115,10,168,0
5.00E-06,27,10,200,0
1.707074,111,10,564,354
0.837789,111,10,453,422
1.255112,111,10,17762,900
1.259484,111,10,1036,838
3.00E-06,15,10,200,0
1.037166,111,10,1144,806
3.00E-06,15,10,200,0
1.264591,111,6,364,3754
1.942211,111,10,1046,848
3.00E-06,15,10,200,0
5.00E-06,132,10,200,0
1.268423,111,10,1494,752
0.763668,111,3,828,8756
8.00E-06,49,10,200,0
1.036682,111,10,1494,798
3.496503,111,3,1320,6248
1.070851,111,10,994,840
3.00E-06,28,10,200,0
5.00E-06,115,10,168,0
3.00E-06,28,10,200,0
1.00E-06,115,10,168,0
3.00E-06,28,10,200,0
1.681614,111,10,564,354
3.00E-06,17,10,200,0
1.52622,111,3,806,354
3.00E-06,17,10,200,0
1.60079,111,3,864,1666
1.979259,111,10,34710,876
0.921987,13,10,1280,0
7.843363,111,10,564,354
0.921987,13,10,1280,0
1.748952,111,10,1110,842
9.00E-06,7,10,104,0
5.139651,111,3,1594,140315
9.00E-06,7,10,104,0
1.656119,111,10,564,354
2.417154,111,10,764,354
0.270547,111,3,860,25496
5.220461,111,3,12290,354
0.497445,111,3,852,1012
7.890124,111,10,2898,386188
0.662481,111,10,564,354
28.213135,13,10,1280,0
1.30E-05,115,10,168,0
1.313131,111,5,1186,1668
0.695078,111,10,564,354
1.90E-05,115,10,168,0
4.00E-06,115,10,168,0
8.00E-06,115,10,168,0
0.191146,111,3,10068,268
3.239653,111,9,3540,538175
3.00E-06,7,10,776,0
3.00E-06,7,10,776,0
0.153847,111,10,732,268
3.00E-06,7,10,776,0
0.179287,111,3,854,268
0.477827,111,10,952,622
0.560323,111,0,9917,1756
0.452364,111,3,808,9588
9.00E-06,115,10,168,0
0.639732,111,10,564,354
0.278216,111,3,880,2208
8.00E-06,115,10,132,0
1.196556,111,5,1154,1644
1.321289,111,3,6622,9490
1.321289,111,3,6622,9490
0.584568,111,6,364,4382
0.063164,115,4,2304,2304
3.674717,111,9,4986,856582
0.180596,111,3,920,268
0.184658,111,10,720,268
0.639185,111,10,564,354
5.403475,111,0,1024208,6708
1.354252,111,5,1072,1842
0.143221,111,3,4406,268
0.466699,13,10,2858,0
0.240818,111,6,364,16744
0.816512,111,0,4675,1832
0.165783,111,10,610,268
1.123349,111,5,1162,1638
0.289543,111,3,2428,1790
0.86807,111,0,3173,1832
9.00E-06,115,10,168,0
0.266753,111,3,6128,268
